# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
126             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.34757165e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
127             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.34953720e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
128             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.35148143e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
129             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.35340459e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
130             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.35530695e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
131             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.35718876e+01	(-5.98615221e-04 1.15119047e-05 5.00000000e-02)	5
132             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.35908200e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
133             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.36097463e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
134             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.36284772e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
135             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.36470147e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
136             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.36653611e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
137             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.36835186e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
138             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37014891e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
139             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37192749e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
140             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37368779e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
